Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	59	110	341	365	365	365	365	365	365	365
1952	84	318	337	335	366	355	366	366	366	366
1953	46	60	86	130	365	365	365	365	365	365
1954	72	326	344	365	365	365	365	365	365	365
1955	61	80	78	106	364	307	365	353	365	365
1956	60	302	318	328	366	362	366	366	366	366
1957	322	345	365	365	365	365	365	365	365	365
1958	65	82	84	98	365	337	365	365	365	365
1959	74	340	350	365	365	365	365	365	365	365
1960	73	344	354	360	366	366	366	366	366	366
1961	322	357	359	365	365	365	365	365	365	365
1962	62	96	307	319	362	337	365	358	365	365
1963	47	72	54	64	64	64	350	64	365	81
1964	62	77	76	89	359	313	366	357	366	366
1965	62	109	318	323	361	346	365	365	365	365
1966	51	105	306	306	365	325	365	356	365	365
1967	72	331	354	361	365	365	365	365	365	365
1968	59	98	320	319	362	347	366	366	366	366
1969	51	61	64	69	89	77	361	85	365	330
1970	49	62	55	62	66	64	361	68	365	73
1971	66	327	333	365	365	365	365	365	365	365
1972	63	324	353	360	366	366	366	366	366	366
1973	67	108	339	329	365	365	365	365	365	365
1974	68	332	365	365	365	365	365	365	365	365
1975	316	328	365	365	365	365	365	365	365	365
1976	62	98	100	309	366	349	366	365	366	366
1977	60	104	337	329	365	363	365	365	365	365
1978	68	106	340	333	365	357	365	365	365	365
1979	55	73	65	75	347	78	365	121	365	346
1980	62	79	309	110	366	314	366	355	366	366
1981	54	64	309	109	353	311	365	343	365	361
1982	53	90	76	121	361	337	365	365	365	365
1983	75	318	342	338	365	365	365	365	365	365
1984	57	72	79	83	365	320	366	361	366	366
1985	55	115	74	122	345	308	365	327	365	364
1986	53	84	68	99	358	334	365	358	365	365
1987	62	124	72	333	341	345	365	365	365	365
1988	73	308	341	338	366	366	366	366	366	366
1989	83	344	349	365	365	365	365	365	365	365
1990	314	346	360	365	365	365	365	365	365	365
1991	58	110	335	298	365	335	365	365	365	365
1992	59	289	349	327	366	366	366	366	366	366
1993	64	101	325	305	365	330	365	363	365	365
1994	50	92	86	291	365	365	365	365	365	365
1995	84	311	342	340	365	359	365	365	365	365
1996	44	49	52	51	66	54	351	62	366	70
1997	50	94	85	105	355	299	365	327	365	354
1998	71	316	336	332	365	344	365	365	365	365
1999	52	82	319	318	365	349	365	365	365	365
2000	61	350	356	366	366	366	366	366	366	366
