startDateTime,endDateTime,tempTripleMean,tempTripleMinimum,tempTripleMaximum,tempTripleVariance,tempTripleNumPts,tempTripleExpUncert,tempTripleStdErMean,finalQF
"2022-03-01T00:00:00Z","2022-03-01T00:30:00Z",4.1214,3.9617,4.2839,0.0057,1800.0000,0.1386,0.0018,0
"2022-03-01T00:30:00Z","2022-03-01T01:00:00Z",4.1606,3.9402,4.3593,0.0075,1800.0000,0.1387,0.0020,0
"2022-03-01T01:00:00Z","2022-03-01T01:30:00Z",3.9201,3.7636,4.0811,0.0043,1800.0000,0.1385,0.0016,0
"2022-03-01T01:30:00Z","2022-03-01T02:00:00Z",3.6698,3.2733,4.0706,0.0541,1800.0000,0.1393,0.0055,0
"2022-03-01T02:00:00Z","2022-03-01T02:30:00Z",2.9384,2.6510,3.2873,0.0391,1800.0000,0.1388,0.0047,0
"2022-03-01T02:30:00Z","2022-03-01T03:00:00Z",2.4173,2.1915,2.6613,0.0170,1800.0000,0.1381,0.0031,0
"2022-03-01T03:00:00Z","2022-03-01T03:30:00Z",2.1132,1.9194,2.2116,0.0040,1800.0000,0.1377,0.0015,0
"2022-03-01T03:30:00Z","2022-03-01T04:00:00Z",1.9451,1.8533,2.0420,0.0016,1800.0000,0.1376,0.0009,0
"2022-03-01T04:00:00Z","2022-03-01T04:30:00Z",1.9248,1.8329,2.0712,0.0022,1800.0000,0.1376,0.0011,0
"2022-03-01T04:30:00Z","2022-03-01T05:00:00Z",1.8997,1.8092,1.9959,0.0013,1800.0000,0.1376,0.0008,0
"2022-03-01T05:00:00Z","2022-03-01T05:30:00Z",2.0374,1.8206,2.2044,0.0083,1800.0000,0.1378,0.0022,0
"2022-03-01T05:30:00Z","2022-03-01T06:00:00Z",2.1629,2.0834,2.2382,0.0008,1800.0000,0.1377,0.0007,0
"2022-03-01T06:00:00Z","2022-03-01T06:30:00Z",2.1747,2.0861,2.2748,0.0013,1800.0000,0.1377,0.0008,0
"2022-03-01T06:30:00Z","2022-03-01T07:00:00Z",2.1942,2.0192,2.3250,0.0026,1800.0000,0.1378,0.0012,0
"2022-03-01T07:00:00Z","2022-03-01T07:30:00Z",2.1738,2.0916,2.2777,0.0013,1800.0000,0.1377,0.0008,0
"2022-03-01T07:30:00Z","2022-03-01T08:00:00Z",2.0988,1.9674,2.1793,0.0013,1800.0000,0.1377,0.0009,0
"2022-03-01T08:00:00Z","2022-03-01T08:30:00Z",1.9897,1.8781,2.0929,0.0025,1800.0000,0.1377,0.0012,0
"2022-03-01T08:30:00Z","2022-03-01T09:00:00Z",1.9484,1.8377,2.0330,0.0015,1800.0000,0.1376,0.0009,0
"2022-03-01T09:00:00Z","2022-03-01T09:30:00Z",1.8966,1.8147,1.9798,0.0013,1800.0000,0.1376,0.0008,0
"2022-03-01T09:30:00Z","2022-03-01T10:00:00Z",1.9592,1.8045,2.0414,0.0029,1800.0000,0.1376,0.0013,0
"2022-03-01T10:00:00Z","2022-03-01T10:30:00Z",1.9745,1.8717,2.0901,0.0022,1800.0000,0.1377,0.0011,0
"2022-03-01T10:30:00Z","2022-03-01T11:00:00Z",2.0868,1.9663,2.1703,0.0027,1800.0000,0.1377,0.0012,0
"2022-03-01T11:00:00Z","2022-03-01T11:30:00Z",2.0050,1.8852,2.1053,0.0020,1800.0000,0.1377,0.0011,0
"2022-03-01T11:30:00Z","2022-03-01T12:00:00Z",1.8266,1.6528,1.9972,0.0055,1800.0000,0.1377,0.0018,0
"2022-03-01T12:00:00Z","2022-03-01T12:30:00Z",1.8055,1.6588,1.9010,0.0014,1800.0000,0.1376,0.0009,0
"2022-03-01T12:30:00Z","2022-03-01T13:00:00Z",2.0601,1.7774,2.3054,0.0209,1800.0000,0.1380,0.0034,0
"2022-03-01T13:00:00Z","2022-03-01T13:30:00Z",2.5114,2.2740,2.8361,0.0218,1800.0000,0.1383,0.0035,0
"2022-03-01T13:30:00Z","2022-03-01T14:00:00Z",3.2718,2.8295,3.8374,0.1094,1800.0000,0.1401,0.0078,0
"2022-03-01T14:00:00Z","2022-03-01T14:30:00Z",4.0999,3.7143,4.8030,0.0713,1800.0000,0.1399,0.0063,0
"2022-03-01T14:30:00Z","2022-03-01T15:00:00Z",5.0821,4.5719,5.5687,0.0697,1800.0000,0.1402,0.0062,0
"2022-03-01T15:00:00Z","2022-03-01T15:30:00Z",5.6463,5.3521,6.1744,0.0247,1800.0000,0.1397,0.0037,0
"2022-03-01T15:30:00Z","2022-03-01T16:00:00Z",6.6455,6.0740,7.4591,0.1178,1800.0000,0.1418,0.0081,0
