Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	0.998	0.995	0.999	0.996	0.999	0.997	0.999	0.998	0.999	0.998
1952	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1953	0.998	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.998
1954	0.998	0.995	0.999	0.996	0.999	0.997	0.999	0.998	0.999	0.998
1955	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1956	0.999	0.995	0.999	0.996	0.999	0.997	0.999	0.997	0.999	0.998
1957	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1958	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1959	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999
1960	0.998	0.977	0.999	0.983	0.999	0.986	0.999	0.989	0.999	0.992
1961	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
1962	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1963	0.998	0.984	0.998	0.988	0.999	0.99	0.999	0.993	0.999	0.994
1964	0.998	0.917	0.998	0.938	0.999	0.954	0.999	0.966	0.999	0.975
1965	0.998	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.998
1966	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1967	0.998	0.995	0.999	0.996	0.999	0.997	0.999	0.997	0.999	0.998
1968	0.998	0.987	0.998	0.99	0.999	0.992	0.999	0.994	0.999	0.996
1969	0.965	0.962	0.965	0.963	0.965	0.963	0.965	0.964	0.966	0.964
1970	0.998	0.997	0.999	0.997	0.999	0.998	0.999	0.998	0.999	0.998
1971	0.998	0.99	0.998	0.992	0.999	0.993	0.999	0.995	0.999	0.996
1972	0.901	0.9	0.901	0.9	0.901	0.901	0.901	0.901	0.901	0.901
1973	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1974	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.999
1975	0.998	0.996	0.999	0.997	0.999	0.997	0.999	0.998	0.999	0.998
1976	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
1977	0.961	0.959	0.961	0.96	0.961	0.961	0.961	0.961	0.961	0.961
1978	0.998	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.998
1979	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.999
1980	0.999	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
1981	0.998	0.996	0.999	0.997	0.999	0.997	0.999	0.998	0.999	0.998
1982	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0.984	0.984
1983	0.998	0.988	0.999	0.99	0.999	0.993	0.999	0.994	0.999	0.995
1984	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1985	0.998	0.983	0.998	0.988	0.999	0.991	0.999	0.993	0.999	0.994
1986	0.998	0.995	0.999	0.996	0.999	0.997	0.999	0.998	0.999	0.998
1987	0.998	0.994	0.999	0.995	0.999	0.996	0.999	0.997	0.999	0.997
1988	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1989	0.998	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
1990	0.999	0.996	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1991	0.998	0.989	0.999	0.994	0.999	0.997	0.999	0.998	0.999	0.998
1992	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
1993	0.998	0.998	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.999
1994	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1995	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.999
1996	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1997	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.999
1998	0.999	0.997	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999
1999	0.998	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
2000	0.998	0.997	0.999	0.998	0.999	0.998	0.999	0.998	0.999	0.999
