"","metric","lat","lon","year","value","sp","latforsim"
"sims1sd41.Fitness.1","Fitness",41.9,1,1951,0.997,"Fagus","41"
"sims1sd41.Fitness.2","Fitness",41.9,1,1952,0.998,"Fagus","41"
"sims1sd41.Fitness.3","Fitness",41.9,1,1953,0.997,"Fagus","41"
"sims1sd41.Fitness.4","Fitness",41.9,1,1954,0.997,"Fagus","41"
"sims1sd41.Fitness.5","Fitness",41.9,1,1955,0.998,"Fagus","41"
"sims1sd41.Fitness.6","Fitness",41.9,1,1956,0.996,"Fagus","41"
"sims1sd41.Fitness.7","Fitness",41.9,1,1957,0.998,"Fagus","41"
"sims1sd41.Fitness.8","Fitness",41.9,1,1958,0.998,"Fagus","41"
"sims1sd41.Fitness.9","Fitness",41.9,1,1959,0.998,"Fagus","41"
"sims1sd41.Fitness.10","Fitness",41.9,1,1960,0.996,"Fagus","41"
"sims1sd41.Fitness.11","Fitness",41.9,1,1961,0.997,"Fagus","41"
"sims1sd41.Fitness.12","Fitness",41.9,1,1962,0.997,"Fagus","41"
"sims1sd41.Fitness.13","Fitness",41.9,1,1963,0.995,"Fagus","41"
"sims1sd41.Fitness.14","Fitness",41.9,1,1964,0.996,"Fagus","41"
"sims1sd41.Fitness.15","Fitness",41.9,1,1965,0.997,"Fagus","41"
"sims1sd41.Fitness.16","Fitness",41.9,1,1966,0.998,"Fagus","41"
"sims1sd41.Fitness.17","Fitness",41.9,1,1967,0.997,"Fagus","41"
"sims1sd41.Fitness.18","Fitness",41.9,1,1968,0.996,"Fagus","41"
"sims1sd41.Fitness.19","Fitness",41.9,1,1969,0.997,"Fagus","41"
"sims1sd41.Fitness.20","Fitness",41.9,1,1970,0.998,"Fagus","41"
"sims1sd41.Fitness.21","Fitness",41.9,1,1971,0.996,"Fagus","41"
"sims1sd41.Fitness.22","Fitness",41.9,1,1972,0.998,"Fagus","41"
"sims1sd41.Fitness.23","Fitness",41.9,1,1973,0.997,"Fagus","41"
"sims1sd41.Fitness.24","Fitness",41.9,1,1974,0.997,"Fagus","41"
"sims1sd41.Fitness.25","Fitness",41.9,1,1975,0.998,"Fagus","41"
"sims1sd41.Fitness.26","Fitness",41.9,1,1976,0.998,"Fagus","41"
"sims1sd41.Fitness.27","Fitness",41.9,1,1977,0.998,"Fagus","41"
"sims1sd41.Fitness.28","Fitness",41.9,1,1978,0.998,"Fagus","41"
"sims1sd41.Fitness.29","Fitness",41.9,1,1979,0.997,"Fagus","41"
"sims1sd41.Fitness.30","Fitness",41.9,1,1980,0.998,"Fagus","41"
"sims1sd41.Fitness.31","Fitness",41.9,1,1981,0.997,"Fagus","41"
"sims1sd41.Fitness.32","Fitness",41.9,1,1982,0.998,"Fagus","41"
"sims1sd41.Fitness.33","Fitness",41.9,1,1983,0.996,"Fagus","41"
"sims1sd41.Fitness.34","Fitness",41.9,1,1984,0.998,"Fagus","41"
"sims1sd41.Fitness.35","Fitness",41.9,1,1985,0.997,"Fagus","41"
"sims1sd41.Fitness.36","Fitness",41.9,1,1986,0.996,"Fagus","41"
"sims1sd41.Fitness.37","Fitness",41.9,1,1987,0.997,"Fagus","41"
"sims1sd41.Fitness.38","Fitness",41.9,1,1988,0.998,"Fagus","41"
"sims1sd41.Fitness.39","Fitness",41.9,1,1989,0.997,"Fagus","41"
"sims1sd41.Fitness.40","Fitness",41.9,1,1990,0.998,"Fagus","41"
"sims1sd41.Fitness.41","Fitness",41.9,1,1991,0.998,"Fagus","41"
"sims1sd41.Fitness.42","Fitness",41.9,1,1992,0.997,"Fagus","41"
"sims1sd41.Fitness.43","Fitness",41.9,1,1993,0.998,"Fagus","41"
"sims1sd41.Fitness.44","Fitness",41.9,1,1994,0.998,"Fagus","41"
"sims1sd41.Fitness.45","Fitness",41.9,1,1995,0.997,"Fagus","41"
"sims1sd41.Fitness.46","Fitness",41.9,1,1996,0.997,"Fagus","41"
"sims1sd41.Fitness.47","Fitness",41.9,1,1997,0.998,"Fagus","41"
"sims1sd41.Fitness.48","Fitness",41.9,1,1998,0.998,"Fagus","41"
"sims1sd41.Fitness.49","Fitness",41.9,1,1999,0.998,"Fagus","41"
"sims1sd41.Fitness.50","Fitness",41.9,1,2000,0.998,"Fagus","41"
"sims1sd41.Fitness.51","Fitness",41.9,2,1951,0.996,"Fagus","41"
"sims1sd41.Fitness.52","Fitness",41.9,2,1952,0.997,"Fagus","41"
"sims1sd41.Fitness.53","Fitness",41.9,2,1953,0.996,"Fagus","41"
"sims1sd41.Fitness.54","Fitness",41.9,2,1954,0.994,"Fagus","41"
"sims1sd41.Fitness.55","Fitness",41.9,2,1955,0.998,"Fagus","41"
"sims1sd41.Fitness.56","Fitness",41.9,2,1956,0.992,"Fagus","41"
"sims1sd41.Fitness.57","Fitness",41.9,2,1957,0.997,"Fagus","41"
"sims1sd41.Fitness.58","Fitness",41.9,2,1958,0.997,"Fagus","41"
"sims1sd41.Fitness.59","Fitness",41.9,2,1959,0.998,"Fagus","41"
"sims1sd41.Fitness.60","Fitness",41.9,2,1960,0.989,"Fagus","41"
"sims1sd41.Fitness.61","Fitness",41.9,2,1961,0.997,"Fagus","41"
"sims1sd41.Fitness.62","Fitness",41.9,2,1962,0.997,"Fagus","41"
"sims1sd41.Fitness.63","Fitness",41.9,2,1963,0.986,"Fagus","41"
"sims1sd41.Fitness.64","Fitness",41.9,2,1964,0.981,"Fagus","41"
"sims1sd41.Fitness.65","Fitness",41.9,2,1965,0.996,"Fagus","41"
"sims1sd41.Fitness.66","Fitness",41.9,2,1966,0.998,"Fagus","41"
