"","metric","lat","lon","year","value","sp","latforsim"
"sims2mean41.Fitness.1","Fitness",41.9,1,1951,0.991,"Fagus","41"
"sims2mean41.Fitness.2","Fitness",41.9,1,1952,0.996,"Fagus","41"
"sims2mean41.Fitness.3","Fitness",41.9,1,1953,0.994,"Fagus","41"
"sims2mean41.Fitness.4","Fitness",41.9,1,1954,0.99,"Fagus","41"
"sims2mean41.Fitness.5","Fitness",41.9,1,1955,0.996,"Fagus","41"
"sims2mean41.Fitness.6","Fitness",41.9,1,1956,0.981,"Fagus","41"
"sims2mean41.Fitness.7","Fitness",41.9,1,1957,0.997,"Fagus","41"
"sims2mean41.Fitness.8","Fitness",41.9,1,1958,0.995,"Fagus","41"
"sims2mean41.Fitness.9","Fitness",41.9,1,1959,0.997,"Fagus","41"
"sims2mean41.Fitness.10","Fitness",41.9,1,1960,0.954,"Fagus","41"
"sims2mean41.Fitness.11","Fitness",41.9,1,1961,0.996,"Fagus","41"
"sims2mean41.Fitness.12","Fitness",41.9,1,1962,0.997,"Fagus","41"
"sims2mean41.Fitness.13","Fitness",41.9,1,1963,0.946,"Fagus","41"
"sims2mean41.Fitness.14","Fitness",41.9,1,1964,0.883,"Fagus","41"
"sims2mean41.Fitness.15","Fitness",41.9,1,1965,0.994,"Fagus","41"
"sims2mean41.Fitness.16","Fitness",41.9,1,1966,0.997,"Fagus","41"
"sims2mean41.Fitness.17","Fitness",41.9,1,1967,0.99,"Fagus","41"
"sims2mean41.Fitness.18","Fitness",41.9,1,1968,0.98,"Fagus","41"
"sims2mean41.Fitness.19","Fitness",41.9,1,1969,0.99,"Fagus","41"
"sims2mean41.Fitness.20","Fitness",41.9,1,1970,0.995,"Fagus","41"
"sims2mean41.Fitness.21","Fitness",41.9,1,1971,0.976,"Fagus","41"
"sims2mean41.Fitness.22","Fitness",41.9,1,1972,0.997,"Fagus","41"
"sims2mean41.Fitness.23","Fitness",41.9,1,1973,0.997,"Fagus","41"
"sims2mean41.Fitness.24","Fitness",41.9,1,1974,0.997,"Fagus","41"
"sims2mean41.Fitness.25","Fitness",41.9,1,1975,0.988,"Fagus","41"
"sims2mean41.Fitness.26","Fitness",41.9,1,1976,0.996,"Fagus","41"
"sims2mean41.Fitness.27","Fitness",41.9,1,1977,0.997,"Fagus","41"
"sims2mean41.Fitness.28","Fitness",41.9,1,1978,0.994,"Fagus","41"
