Location id	1	2	3	4	5
Location latitude	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	302	302	302	302	365
1952	298	293	289	286	282
1953	303	301	299	294	293
1954	301	302	365	365	365
1955	365	365	365	365	365
1956	303	303	304	366	366
1957	302	313	299	297	365
1958	304	305	305	306	307
1959	365	365	365	365	365
1960	298	296	295	294	294
1961	297	292	288	281	278
1962	305	305	365	365	-999
1963	301	300	300	300	301
1964	301	300	299	296	294
1965	302	303	303	302	302
1966	298	295	295	294	294
1967	299	298	296	296	296
1968	301	299	294	289	286
1969	304	304	304	305	305
1970	304	-999	365	365	365
1971	298	297	297	297	297
1972	299	366	366	366	366
1973	365	365	365	365	365
1974	365	310	365	295	365
1975	365	365	365	365	365
1976	366	366	366	366	366
1977	302	302	302	300	300
1978	300	301	300	298	365
1979	302	302	304	365	365
1980	366	366	366	366	366
1981	297	295	292	292	365
1982	305	305	305	306	308
1983	365	365	365	365	365
1984	305	305	305	366	366
1985	301	301	300	299	304
1986	300	299	298	365	365
1987	365	365	365	365	365
1988	300	300	297	295	293
1989	300	299	298	296	294
1990	297	293	290	288	292
1991	305	305	306	308	365
1992	300	300	299	299	298
1993	294	290	286	282	276
1994	298	297	295	293	293
1995	307	308	308	309	310
1996	366	366	366	366	366
1997	302	365	322	302	365
1998	297	294	289	286	285
1999	304	303	303	303	304
2000	295	292	288	286	283
