Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	144.883	139.747	133.487	127.257	123.024	117.91
1952	129.699	125.555	121.368	115.971	112.573	110.072
1953	135.285	124.729	121.101	116.611	111.492	107.083
1954	146.039	141.097	134.61	129.965	126.048	121.35
1955	153.908	147.091	137.094	129.565	125.191	121.597
1956	149.233	144.617	137.921	132.1	127.982	125.35
1957	142.316	135.678	130.858	121.185	116.625	110.818
1958	147.821	143.573	139.134	134.202	130.333	127.873
1959	128.041	120.032	115.379	109.508	106.031	104.409
1960	137.693	134.269	130.223	126.003	118.982	112.084
1961	124.466	118.156	113.765	110.582	107.366	104.076
1962	152.057	142.578	135.605	129.073	125.703	118.639
1963	144.727	139.42	132.232	127.493	120.89	115.508
1964	142.134	134.682	130.914	126.644	121.307	118.243
1965	148.225	141.128	134.91	129.926	124.499	119.95
1966	136.333	132.176	125.283	121.962	119.234	115.929
1967	136.67	133.273	130.459	126.068	120.015	114.531
1968	133.02	125.693	120.156	115.639	112.815	111.252
1969	147.914	142.595	135.091	132.73	130.158	126.242
1970	151.702	144.789	137.795	132.804	129.327	127.211
1971	137.645	134.544	131.705	128.923	125.845	120.264
1972	142.713	134.089	127.742	123.76	120.427	112.675
1973	148.438	142.604	138.525	130.598	125.062	121.437
1974	141.267	135.641	130.081	122.215	117.062	110.24
1975	146.689	138.181	134.248	129.246	126.072	121.159
1976	146.094	139.725	135.561	130.72	128.974	126.864
1977	146.014	138.813	131.682	125.806	122.428	117.583
1978	145.022	140.496	133.705	126.027	122.283	118.96
1979	148.267	142.949	139.132	135.392	132.324	126.711
1980	154.542	148.222	141.47	137.222	131.451	124.763
1981	134.467	131.533	128.887	123.49	114.46	103.857
1982	146.705	142.351	137.751	134.801	128.244	120.758
1983	141.5	136.265	130.899	125.058	119.027	115.224
1984	149.836	143.828	139.633	135.43	128.293	124.34
1985	143.693	138.773	133.829	130.691	126.925	122.019
1986	144.598	139.756	134.238	129.465	125.434	122.898
1987	155.89	148.439	140.718	132.569	125.948	120.874
1988	140.605	135.4	132.431	128.42	124.159	121.274
1989	139.375	134.243	127.445	121.779	114.083	107.209
1990	129.668	126.15	123.617	120.381	114.678	110.795
1991	150.242	142.106	133.792	126.755	116.941	105.6
1992	142.548	138.589	134.524	128.344	121.891	117.317
1993	130.66	127.451	121.125	118.809	116.789	114.754
1994	138.23	133.219	128.466	123.015	117.96	114.621
1995	148.074	143.925	135.86	127.2	123.328	119.775
1996	152.66	147.081	140.419	135.508	128.974	122.595
1997	143.278	137.51	134.535	130.485	124.22	121.154
1998	133.934	130.042	126.726	121.273	118.426	114.938
1999	142.479	136.018	129.238	123.867	117.424	113.15
2000	130.865	127.429	123.411	120.594	118.455	116.401
