Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	0.994	0.238	0.996	0.628	0.997	0.809	0.998	0.894	0.999	0.936
1952	0.992	0	0.995	0	0.996	0	0.998	0	0.998	0
1953	0.994	0.83	0.995	0.886	0.997	0.929	0.997	0.955	0.998	0.972
1954	0.992	0	0.994	0	0.996	0.763	0.997	0.835	0.998	0.885
1955	0.995	0.967	0.997	0.983	0.997	0	0.998	0	0.998	0
1956	0.956	0	0.972	0	0.984	0	0.99	0	0.994	0
1957	0.995	0	0.996	0.864	0.997	0.915	0.998	0.944	0.999	0.962
1958	0.995	0.915	0.997	0.959	0.997	0.977	0.998	0.989	0.998	0.993
1959	0.996	0.977	0.997	0.986	0.998	0.991	0.998	0.994	0.999	0.995
1960	0.996	0.962	0.997	0.977	0.997	0.986	0.998	0.99	0.999	0.993
1961	0.997	0.988	0.997	0.993	0.998	0.996	0.998	0.997	0.998	0.998
1962	0.995	0	0.996	0	0.997	0	0.998	0	0.999	0
1963	0.988	0	0.992	0	0.994	0	0.997	0	0.998	0.819
1964	0.994	0.941	0.996	0.963	0.998	0.977	0.998	0.986	0.998	0.991
1965	0.992	0	0.995	0	0.996	0	0.997	0	0.998	0
1966	0.993	0	0.995	0	0.997	0	0.998	0	0.998	0.765
1967	0.994	0	0.996	0.777	0.997	0.849	0.998	0.897	0.998	0.929
1968	0.991	0	0.994	0	0.995	0	0.997	0	0.998	0
1969	0.99	0	0.994	0	0.996	0	0.997	0	0.998	0.791
1970	0.99	0	0.994	0	0.996	0	0.997	0	0.998	0.835
1971	0.992	0	0.994	0	0.996	0	0.997	0	0.998	0.849
1972	0.996	0.964	0.997	0.979	0.998	0.989	0.998	0.994	0.998	0.995
1973	0.994	0.862	0.996	0.929	0.998	0.962	0.998	0.978	0.998	0.988
1974	0.996	0.858	0.997	0.912	0.997	0.943	0.998	0.963	0.998	0.976
1975	0.996	0.9	0.997	0.952	0.998	0.982	0.998	0.991	0.999	0.995
1976	0.993	0	0.995	0.886	0.997	0.927	0.997	0.953	0.998	0.976
1977	0.995	0	0.997	0	0.998	0.902	0.998	0.951	0.998	0.991
1978	0.994	0.803	0.996	0.875	0.997	0.929	0.998	0.954	0.998	0.972
1979	0.991	0	0.995	0	0.996	0	0.997	0.651	0.998	0.812
1980	0.996	0.977	0.997	0.987	0.998	0.992	0.998	0.994	0.999	0.996
1981	0.994	0.86	0.996	0.915	0.997	0.946	0.997	0.966	0.998	0.978
1982	0.996	0.943	0.997	0.968	0.998	0.982	0.998	0.989	0.999	0.994
1983	0.995	0.968	0.997	0.983	0.997	0.991	0.998	0.994	0.998	0.996
1984	0.995	0.934	0.996	0.964	0.998	0.979	0.998	0.987	0.998	0.993
1985	0.98	0	0.987	0	0.992	0	0.994	0	0.996	0
1986	0.981	0	0.988	0	0.992	0	0.995	0	0.996	0
1987	0.987	0	0.991	0	0.994	0	0.996	0	0.997	0
1988	0.995	0	0.996	0	0.997	0.898	0.998	0.955	0.998	0.985
1989	0.996	0.923	0.998	0.972	0.998	0.988	0.999	0.994	0.999	0.997
1990	0.996	0.968	0.998	0.982	0.998	0.991	0.999	0.995	0.999	0.996
1991	0.991	0	0.994	0	0.996	0.823	0.997	0.891	0.998	0.937
1992	0.995	0.951	0.997	0.976	0.998	0.987	0.998	0.992	0.998	0.995
1993	0.994	0.926	0.997	0.966	0.997	0.982	0.998	0.989	0.999	0.992
1994	0.996	0.924	0.997	0.956	0.998	0.977	0.998	0.988	0.999	0.992
1995	0.996	0.928	0.997	0.972	0.998	0.99	0.998	0.995	0.999	0
1996	0.994	0.94	0.996	0.968	0.997	0.983	0.998	0.991	0.998	0.995
1997	0.994	0.844	0.996	0.901	0.997	0.935	0.997	0.957	0.998	0.972
1998	0.995	0.57	0.997	0.822	0.998	0.926	0.998	0.969	0.998	0.986
1999	0.994	0	0.995	0	0.997	0.841	0.997	0.917	0.998	0.954
2000	0.995	0.937	0.997	0.959	0.997	0.975	0.998	0.984	0.998	0.989
