Location id	1	2	3	4	5	6
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	113.785	114.462	113.806	116.128	124.764	132.044
1952	105.851	107.791	109.331	111.654	117.216	366
1953	108.996	108.867	110.009	112.112	114.637	134.696
1954	114.871	116.115	125.147	132.713	365	365
1955	115.108	119.632	126.126	365	365	365
1956	115.147	115.507	118.085	123.737	366	366
1957	94.37	93.311	90.453	93.901	115.26	365
1958	104.475	104.946	105.184	110.154	133.776	365
1959	102.735	108.265	115.779	365	365	365
1960	98.548	98.429	103.328	112.692	366	366
1961	98.514	97.96	98.961	113.91	365	365
1962	113.706	116.236	121.193	132.802	365	365
1963	107.529	104.9	103.152	104.16	108.062	113.568
1964	115.806	116.103	117.424	117.238	366	366
1965	108.315	112.719	115.552	120.211	120.279	129.053
1966	100.713	104.485	124.614	138.317	365	365
1967	99.538	96.852	94.582	96.854	107.098	365
1968	111.928	110.531	111.822	121.191	132.101	366
1969	110.224	115.75	124.346	147.922	365	365
1970	112.941	112.414	112.029	115.908	129.454	365
1971	117.374	116.633	118.593	130.437	138.198	365
1972	106.615	103.389	102.517	105.556	122.322	366
1973	116.15	118.225	117.004	121.1	136.78	365
1974	103.32	102.598	112.669	123.413	365	365
1975	104.742	104.783	108.783	127.638	154.501	365
1976	107.158	105.162	107.309	109.776	119.489	366
1977	94.471	95.196	106.236	122.597	365	365
1978	114.23	111.602	115.037	115.72	114.462	365
1979	109.382	119.182	129.382	146.425	157.001	365
1980	102.771	102.198	102.815	118.663	145.648	366
1981	101.243	101.224	103.033	105.57	104.018	113.137
1982	107.058	109.888	119.653	143.627	365	365
1983	109.985	111.749	115.374	117.661	130.297	365
1984	114.672	118.123	123.899	129.612	133.254	140.892
1985	110.47	114.28	118.647	125.779	149.95	365
1986	112.283	112.99	112.708	112.146	113.25	155.867
1987	108.315	108.136	108.523	118.814	140.717	365
1988	111.435	113.319	122.94	129.548	366	366
1989	106.703	106.765	105.315	104.231	107.764	365
1990	109.036	115.079	152.519	365	365	365
1991	105.259	109.988	107.357	108.65	112.098	365
1992	104.648	102.794	104.646	110.678	118.922	366
1993	110.389	113.463	119.123	126.663	135.067	365
1994	102.077	100.126	100.075	103.463	116.832	365
1995	114.423	127.176	137.455	365	365	365
1996	111.459	114.702	123.198	131.941	155.613	366
1997	97.079	104.611	111.966	365	365	365
1998	104.05	105.99	111.22	136.268	365	365
1999	103.308	103.424	104.708	109.888	113.219	365
2000	101.267	100.346	100.944	101.995	112.69	366
